合同号,客户名,合同标题,合同总额,已回款,应收未结,合同到期日,原关闭原因,关闭时间,负责人,签订人
QT-HT-2026-2260,浙江浙开电气有限公司,浙江浙开电气有限公司-风险管控-2023年,8000.00,4000.00,4000.00,2023-07-30 16:00:00,overdue_terminated,2026-06-26 10:00:03,陈尔平,朱越华
QT-HT-2026-3198,杭州鸿科建筑模型设计有限公司,杭州鸿科建筑模型设计有限公司-风险管控（锦泰）-2026年,4000.00,0,4000.00,2026-02-27 16:00:00,overdue_terminated,2026-06-26 10:00:07,胡建国,沈琳莉
HZJT20250266,杭州星慧电器有限公司,杭州星慧电器有限公司-社会化服务-2025年,8000.00,4000.00,4000.00,2026-04-23 16:00:00,overdue_terminated,2026-06-26 10:00:06,黄杰,黄杰
QT-HT-2026-2712,杭州景轩广告展览有限公司,杭州景轩广告展览有限公司-安全生产台账（锦泰）-2023年,4000.00,0,4000.00,2024-09-06 16:00:00,overdue_terminated,2026-06-26 10:00:05,施佳鑫,陈涛
HZJT20250133,杭州上得新材料科技有限公司,杭州上得新材料科技有限公司-风险管控（锦泰）-2025年,4000.00,0,4000.00,2025-09-29 16:00:00,overdue_terminated,2026-06-26 10:00:04,陈涛,陈涛
QT-HT-2026-0111,杭州轩慧电子有限公司,杭州轩慧电子有限公司-风险管控-2021年,8000.00,4000.00,4000.00,2021-03-31 16:00:00,overdue_terminated,2026-06-26 10:00:02,胡建国,朱越华
HZQT20240201,杭州锐镛精密机械有限公司,杭州锐镛精密机械有限公司-安全生产台账-2024年,4000.00,0,4000.00,2025-05-19 16:00:00,overdue_terminated,2026-06-26 10:00:06,孙国茗,孙国茗
HZJT20250101,杭州余杭区中泰街道君悦乐器包装厂,杭州余杭区中泰街道君悦乐器包装厂-安全生产台账（锦泰）-2025年,4000.00,0,4000.00,2026-03-09 16:00:00,overdue_terminated,2026-06-26 10:00:07,黄杰,黄杰
HZJT20240169,杭州蓝润中空玻璃有限公司,杭州蓝润中空玻璃有限公司-安全生产台账（锦泰）-2024年,4000.00,0,4000.00,2025-04-22 16:00:00,overdue_terminated,2026-06-26 10:00:06,沈陈强,沈陈强
HZJT2026074,杭州广众电器有限公司,杭州广众电器有限公司-风险管控（锦泰）-2025年,4000.00,0,4000.00,2025-11-29 16:00:00,overdue_terminated,2026-06-26 10:00:04,方晔华,沈陈强
